,Name,PA,wOBA,xwOBA,sxwOBA,diff,diff %,BB%,K%,HR,LA,Barrels,pulled_barrels
207,Garrett Cooper,469,0.33,0.343,0.346,0.003,0.83,8.5,25.4,9,8.8,32.0,10
208,Mauricio Dubon,265,0.248,0.278,0.267,-0.012,-4.14,4.9,11.3,5,16.7,5.0,1
209,Danny Jansen,248,0.364,0.381,0.381,-0.001,-0.17,10.1,17.7,15,22.2,23.0,12
210,Tony Kemp,558,0.287,0.284,0.276,-0.008,-2.75,8.1,12.4,7,15.0,7.0,0
211,Isiah Kiner-Falefa,531,0.285,0.309,0.312,0.003,1.03,6.6,13.6,4,4.3,5.0,4
212,Jeff McNeil,589,0.365,0.335,0.346,0.011,3.17,6.8,10.4,9,12.8,13.0,0
213,Yu Chang,190,0.273,0.301,0.294,-0.007,-2.43,8.4,31.1,4,14.3,10.0,4
214,Ozzie Albies,269,0.305,0.295,0.301,0.005,1.82,5.9,17.5,8,16.9,11.0,4
215,Victor Robles,407,0.26,0.254,0.262,0.008,3.02,4.2,25.6,6,15.8,9.0,6
216,Jose Herrera,124,0.213,0.204,0.19,-0.014,-7.0,7.3,27.4,0,3.0,0.0,0
217,Rafael Devers,614,0.373,0.357,0.367,0.01,2.71,8.1,18.6,27,11.3,51.0,0
218,Josh Naylor,498,0.331,0.338,0.337,-0.001,-0.44,7.6,16.1,20,10.3,32.0,0
219,Aledmys Diaz,327,0.301,0.321,0.313,-0.008,-2.54,5.5,16.2,12,12.4,16.0,9
220,Luis Urias,472,0.327,0.332,0.332,0.001,0.22,10.6,21.0,16,18.0,26.0,10
221,Luis Arraez,603,0.35,0.353,0.347,-0.005,-1.54,8.3,7.1,8,12.9,18.0,0
222,Eloy Jimenez,327,0.37,0.376,0.393,0.016,4.39,8.6,22.0,16,7.4,33.0,8
223,Gleyber Torres,572,0.328,0.334,0.329,-0.005,-1.49,6.8,22.6,24,17.5,43.0,14
224,Willi Castro,392,0.285,0.299,0.299,0.001,0.23,3.8,20.9,8,13.7,10.0,1
225,Yandy Diaz,558,0.366,0.381,0.381,0.0,0.12,14.0,10.8,9,7.7,20.0,8
226,Bryan De La Cruz,355,0.313,0.362,0.342,-0.02,-5.62,5.4,25.4,13,9.8,29.0,7
227,Meibrys Viloria,75,0.256,0.253,0.233,-0.02,-8.05,14.7,38.7,2,5.6,3.0,0
228,Luis Rengifo,511,0.314,0.306,0.313,0.007,2.21,3.3,15.5,17,9.9,22.0,9
229,Riley Adams,155,0.249,0.284,0.277,-0.007,-2.48,7.7,29.7,5,13.5,9.0,4
230,Matt Chapman,621,0.331,0.344,0.341,-0.003,-0.79,11.0,27.4,27,19.0,48.0,18
231,Michael Chavis,426,0.282,0.276,0.27,-0.006,-2.18,4.5,29.6,14,11.1,21.0,11
232,Stuart Fairchild,110,0.35,0.339,0.327,-0.012,-3.67,7.3,30.9,5,13.3,6.0,2
233,Stone Garrett,84,0.36,0.29,0.318,0.028,9.74,3.6,32.1,4,22.8,5.0,2
234,Sam Hilliard,200,0.251,0.291,0.29,-0.001,-0.35,11.5,28.5,2,13.4,11.0,0
235,Connor Joe,467,0.314,0.324,0.314,-0.01,-3.23,11.8,20.8,7,10.6,14.0,7
236,Jordan Luplow,234,0.281,0.299,0.301,0.002,0.77,10.7,25.6,11,17.7,11.0,8
237,Zach McKinstry,185,0.28,0.307,0.298,-0.009,-3.02,8.6,28.1,5,12.9,5.0,0
238,Cedric Mullins II,672,0.315,0.314,0.313,-0.001,-0.23,7.0,18.8,16,17.4,24.0,0
239,Ryan O'Hearn,145,0.272,0.316,0.312,-0.004,-1.23,5.5,24.1,1,13.4,7.0,0
240,Kyle Schwarber,669,0.355,0.365,0.352,-0.013,-3.56,12.9,29.9,46,19.2,76.0,0
241,Pavin Smith,277,0.294,0.295,0.286,-0.009,-3.02,10.1,24.2,9,15.2,18.0,0
242,Lane Thomas,548,0.308,0.314,0.307,-0.007,-2.1,7.5,24.1,17,12.5,24.0,14
243,Alex Verdugo,644,0.319,0.328,0.327,-0.002,-0.5,6.5,13.4,11,8.4,31.0,0
244,Connor Wong,56,0.263,0.297,0.284,-0.014,-4.55,8.9,28.6,1,5.1,4.0,0
245,Ramon Laureano,383,0.294,0.315,0.319,0.005,1.55,6.5,27.2,13,14.9,28.0,11
246,Gavin Sheets,410,0.308,0.274,0.303,0.029,10.71,6.6,21.0,15,14.8,19.0,0
247,Edward Olivares,174,0.326,0.327,0.352,0.026,7.88,5.7,20.7,4,6.6,8.0,4
248,Yoan Moncada,433,0.275,0.297,0.278,-0.019,-6.35,7.4,26.3,12,15.7,28.0,0
249,Shohei Ohtani,666,0.37,0.394,0.386,-0.008,-2.05,10.8,24.2,34,12.1,72.0,0
250,Vidal Brujan,162,0.22,0.248,0.24,-0.008,-3.15,7.4,22.8,3,14.2,3.0,1
251,Ronald Acuna Jr.,533,0.335,0.344,0.342,-0.002,-0.59,9.9,23.6,15,10.8,44.0,16
252,Keibert Ruiz,433,0.299,0.319,0.32,0.001,0.45,6.9,11.5,7,14.9,13.0,0
253,Elehuris Montero,185,0.303,0.266,0.281,0.015,5.65,4.3,32.4,6,13.2,10.0,5
254,Oscar Gonzalez,382,0.339,0.339,0.338,-0.001,-0.29,3.9,19.6,11,5.4,21.0,9
255,Juan Yepez,274,0.319,0.295,0.308,0.013,4.28,5.8,22.3,12,17.1,18.0,9
256,Jesus Sanchez,343,0.298,0.295,0.308,0.013,4.47,7.6,26.8,13,11.0,22.0,0
257,William Contreras,376,0.37,0.362,0.36,-0.002,-0.63,10.4,27.7,20,6.1,31.0,5
258,Brian Serven,205,0.263,0.264,0.264,-0.0,-0.02,6.3,21.5,6,12.5,4.0,3
259,Daulton Varsho,592,0.323,0.315,0.311,-0.003,-1.08,7.8,24.5,27,14.9,40.0,0
260,Lars Nootbaar,347,0.342,0.367,0.368,0.001,0.35,14.7,20.5,14,10.7,27.0,0
261,Tyler Nevin,184,0.261,0.299,0.287,-0.012,-3.93,10.9,25.0,2,17.7,4.0,2
262,Nico Hoerner,517,0.32,0.317,0.336,0.019,5.84,5.4,11.0,10,10.7,11.0,8
263,Austin Riley,693,0.377,0.385,0.384,-0.002,-0.4,8.2,24.2,38,12.9,71.0,36
264,Nick Madrigal,228,0.267,0.295,0.294,-0.001,-0.45,6.1,11.8,0,-0.2,0.0,0
265,Trevor Larnach,180,0.309,0.323,0.323,0.0,0.06,10.0,31.7,5,13.1,12.0,0
266,Ryan Mountcastle,609,0.316,0.365,0.35,-0.015,-4.11,7.1,25.3,22,15.9,61.0,19
267,Ryan McKenna,172,0.279,0.268,0.287,0.019,7.2,6.4,32.0,2,15.4,10.0,3
268,Ke'Bryan Hayes,560,0.294,0.314,0.313,-0.001,-0.24,8.6,21.8,7,5.2,15.0,3
269,Kyle Tucker,609,0.348,0.349,0.348,-0.001,-0.28,9.7,15.6,30,19.0,46.0,0
270,Jonathan India,431,0.314,0.311,0.308,-0.004,-1.23,7.2,21.8,10,14.5,14.0,4
271,Joey Bart,291,0.294,0.309,0.304,-0.006,-1.83,8.9,38.5,11,16.3,15.0,10
272,Cal Raleigh,415,0.33,0.326,0.337,0.011,3.36,9.2,29.4,27,22.5,39.0,5
273,Nick Fortes,240,0.308,0.336,0.341,0.006,1.67,7.5,18.8,9,15.4,12.0,4
274,Trent Grisham,524,0.28,0.288,0.292,0.004,1.56,10.9,28.6,17,15.1,25.0,0
275,Matt Vierling,357,0.285,0.316,0.317,0.001,0.38,6.4,19.6,6,12.0,13.0,6
276,Romy Gonzalez,109,0.264,0.272,0.297,0.025,9.12,1.8,35.8,2,3.3,6.0,2
277,Tyler Stephenson,183,0.37,0.321,0.322,0.001,0.28,6.6,25.7,6,11.1,8.0,3
278,Luke Williams,136,0.265,0.245,0.247,0.002,0.69,6.6,32.4,1,16.7,3.0,1
279,Nathaniel Lowe,645,0.368,0.356,0.356,0.0,0.09,7.4,22.8,27,8.0,44.0,0
280,Ian Happ,641,0.339,0.319,0.325,0.006,1.91,9.0,23.2,17,10.9,28.0,2
281,Mark Mathias,91,0.353,0.309,0.32,0.011,3.64,9.9,33.0,6,11.8,6.0,3
282,Ty France,613,0.337,0.352,0.343,-0.009,-2.51,5.7,15.3,20,10.1,25.0,11
283,Brandon Lowe,266,0.306,0.322,0.322,-0.0,-0.01,10.2,22.9,8,16.6,18.0,0
284,David Fletcher,228,0.275,0.296,0.305,0.009,3.0,3.1,7.0,2,15.0,0.0,0
285,Sam Haggerty,201,0.32,0.297,0.318,0.021,6.95,9.0,26.4,5,13.6,5.0,2
286,Kyle Garlick,162,0.311,0.321,0.318,-0.003,-0.95,4.9,29.6,9,15.1,10.0,6
287,Myles Straw,596,0.257,0.28,0.282,0.003,0.96,9.1,14.6,0,9.8,3.0,0
288,Kyle Isbel,278,0.265,0.266,0.276,0.01,3.62,5.8,27.0,5,10.6,9.0,0
289,Alec Bohm,631,0.31,0.352,0.339,-0.013,-3.77,4.9,17.4,13,10.4,33.0,9
290,LaMonte Wade Jr.,251,0.298,0.334,0.308,-0.026,-7.83,10.4,20.3,8,21.1,16.0,0
291,Seby Zavala,205,0.323,0.3,0.312,0.012,3.92,9.3,31.2,2,22.7,11.0,4
292,Seth Brown,555,0.323,0.338,0.33,-0.008,-2.34,9.2,26.3,25,15.8,46.0,0
293,Jake McCarthy,354,0.337,0.352,0.339,-0.014,-3.86,6.5,21.5,8,8.0,12.0,0
294,Kody Clemens,127,0.22,0.251,0.261,0.01,3.82,6.3,26.0,5,17.4,5.0,0
295,Nick Maton,85,0.364,0.32,0.328,0.008,2.53,11.8,34.1,5,18.6,3.0,0
296,Jeremy Pena,558,0.309,0.329,0.329,-0.0,-0.03,3.9,24.2,22,8.7,38.0,13
297,Vladimir Guerrero Jr.,706,0.351,0.372,0.366,-0.006,-1.64,8.2,16.4,32,4.3,59.0,25
298,Cristian Pache,260,0.207,0.259,0.265,0.007,2.57,5.8,26.9,3,3.8,6.0,1
299,Juan Soto,664,0.376,0.393,0.382,-0.011,-2.78,20.3,14.5,27,9.1,53.0,0
300,Leody Taveras,341,0.297,0.285,0.289,0.004,1.4,6.2,25.8,5,12.0,10.0,0
301,Oswaldo Cabrera,171,0.322,0.285,0.306,0.021,7.24,8.8,25.7,6,21.5,7.0,0
302,Oneil Cruz,361,0.32,0.335,0.341,0.006,1.79,7.8,34.9,17,8.3,32.0,0
303,Jazz Chisholm Jr.,241,0.365,0.373,0.366,-0.006,-1.72,8.7,27.4,14,15.1,25.0,0
304,Esteury Ruiz,36,0.197,0.214,0.21,-0.004,-1.77,2.8,19.4,0,19.2,1.0,0
305,Andres Gimenez,557,0.364,0.361,0.358,-0.003,-0.87,6.1,20.1,17,11.7,24.0,0
306,Josh Lowe,198,0.276,0.286,0.281,-0.005,-1.61,7.6,33.3,2,11.4,6.0,0
307,Will Benson,61,0.212,0.226,0.222,-0.004,-1.77,4.9,31.1,0,10.4,0.0,0
308,Bo Bichette,697,0.347,0.346,0.357,0.012,3.47,5.9,22.2,24,8.5,48.0,15
309,Dylan Carlson,488,0.306,0.311,0.325,0.014,4.65,9.2,19.3,8,12.9,15.0,2
310,Rodolfo Castro,278,0.315,0.294,0.286,-0.008,-2.68,7.9,26.6,11,11.7,12.0,4
311,Bobby Dalbec,353,0.287,0.311,0.319,0.008,2.62,8.2,33.4,12,15.2,24.0,9
312,Adolis Garcia,657,0.324,0.328,0.327,-0.001,-0.34,6.1,27.9,27,13.1,55.0,25
313,Lourdes Gurriel Jr.,493,0.327,0.338,0.333,-0.005,-1.35,6.3,16.8,5,10.9,14.0,7
314,Brent Rooker,36,0.186,0.263,0.228,-0.035,-13.45,8.3,30.6,0,13.5,1.0,0
315,Randy Arozarena,645,0.336,0.32,0.325,0.005,1.48,7.1,24.2,20,8.9,34.0,10
316,Nick Pratto,182,0.287,0.289,0.289,-0.0,-0.06,10.4,36.3,7,19.7,12.0,0
317,Spencer Steer,108,0.287,0.288,0.274,-0.014,-4.88,10.2,24.1,2,13.6,4.0,1
318,Akil Baddoo,225,0.256,0.259,0.258,-0.0,-0.05,10.7,28.4,2,14.2,5.0,0
319,Andrew Knizner,293,0.275,0.29,0.281,-0.009,-2.96,8.9,21.2,4,15.6,7.0,2
320,Bryan Reynolds,614,0.349,0.345,0.347,0.002,0.62,9.1,23.0,27,12.0,32.0,3
321,Conner Capel,59,0.371,0.35,0.322,-0.028,-7.99,8.5,16.9,3,7.9,3.0,0
322,Adley Rutschman,470,0.354,0.348,0.356,0.008,2.33,13.8,18.3,13,15.6,25.0,3
323,Josh Rojas,510,0.326,0.324,0.317,-0.008,-2.4,10.8,19.2,9,11.9,16.0,0
324,Ryan Kreidler,84,0.218,0.283,0.271,-0.012,-4.38,7.1,26.2,1,14.8,4.0,2
325,Garrett Mitchell,68,0.365,0.313,0.332,0.019,6.03,8.8,41.2,2,9.5,4.0,0
326,MJ Melendez,534,0.31,0.329,0.329,-0.0,-0.09,12.4,24.5,18,15.1,35.0,0
327,Brandon Marsh,461,0.296,0.294,0.298,0.004,1.49,6.1,34.3,11,10.9,20.0,0
328,Kyle Stowers,98,0.316,0.331,0.324,-0.008,-2.41,5.1,29.6,3,16.0,7.0,0
329,Shea Langeliers,153,0.296,0.276,0.306,0.03,10.87,5.9,34.6,6,16.9,9.0,4
330,Luis Campusano,50,0.257,0.275,0.24,-0.034,-12.46,2.0,22.0,1,16.4,2.0,1
331,Sean Murphy,612,0.331,0.353,0.354,0.001,0.41,9.2,20.3,18,11.5,44.0,13
332,Nick Senzel,420,0.272,0.315,0.312,-0.003,-1.08,7.1,18.1,5,11.7,10.0,2
333,Tommy Edman,630,0.318,0.324,0.316,-0.008,-2.41,7.3,17.6,13,8.7,29.0,8
334,Will Smith,578,0.349,0.362,0.351,-0.011,-3.01,9.7,16.6,24,18.4,43.0,18
335,Jack Suwinski,372,0.311,0.326,0.326,-0.0,-0.01,11.0,30.6,19,14.3,26.0,0
336,Santiago Espinal,491,0.305,0.311,0.317,0.007,2.19,7.3,13.8,7,14.1,13.0,9
337,Jose Miranda,483,0.329,0.326,0.339,0.013,3.89,5.8,18.8,15,13.8,22.0,12
338,Bubba Thompson,181,0.274,0.243,0.233,-0.01,-4.08,3.9,30.9,1,5.3,2.0,1
339,Nolan Gorman,313,0.316,0.337,0.328,-0.009,-2.65,8.9,32.9,14,20.0,26.0,0
340,Bryce Johnson,19,0.129,0.188,0.184,-0.003,-1.78,5.3,36.8,0,13.5,0.0,0
341,Jake Burger,183,0.327,0.321,0.327,0.006,1.73,5.5,30.6,8,12.3,17.0,9
342,Nick Allen,326,0.245,0.254,0.27,0.016,6.11,5.8,19.6,4,7.6,3.0,2
343,Cooper Hummel,201,0.262,0.295,0.285,-0.01,-3.28,11.4,31.8,3,7.7,8.0,2
344,Josh Smith,253,0.262,0.307,0.291,-0.016,-5.24,11.1,19.8,2,19.2,4.0,0
345,Austin Hays,582,0.314,0.312,0.316,0.004,1.3,5.8,19.6,16,11.3,22.0,12
346,Darick Hall,142,0.343,0.319,0.315,-0.004,-1.38,3.5,31.0,9,18.6,16.0,0
347,Alex Call,131,0.332,0.284,0.316,0.032,11.18,11.5,22.9,5,18.1,1.0,1
348,Nicky Lopez,480,0.251,0.28,0.273,-0.006,-2.23,6.0,13.1,0,4.9,6.0,0
349,Luke Raley,72,0.271,0.3,0.27,-0.03,-9.96,9.7,33.3,1,16.9,5.0,0
350,Miles Mastrobuoni,17,0.196,0.197,0.176,-0.02,-10.36,5.9,35.3,0,-2.2,0.0,0
351,Matt Wallner,65,0.311,0.308,0.301,-0.007,-2.19,9.2,38.5,2,12.9,3.0,0
352,Yordan Alvarez,561,0.427,0.443,0.424,-0.019,-4.38,13.9,18.9,37,12.3,78.0,0
353,Isaac Paredes,381,0.323,0.306,0.338,0.032,10.35,11.5,17.6,20,15.9,17.0,14
354,Mike Brosseau,160,0.338,0.307,0.32,0.013,4.19,8.8,30.0,6,14.6,8.0,3
355,Taylor Walls,466,0.252,0.28,0.291,0.01,3.71,11.2,25.8,8,16.6,18.0,3
356,T.J. Friedl,258,0.323,0.304,0.309,0.005,1.69,7.8,15.5,8,19.8,9.0,0
357,Triston Casas,95,0.344,0.344,0.356,0.013,3.66,20.0,24.2,5,2.2,4.0,0
358,Heliot Ramos,22,0.143,0.288,0.252,-0.036,-12.63,9.1,27.3,0,1.7,1.0,0
359,Luis Garcia,377,0.303,0.31,0.316,0.006,1.92,2.9,22.3,7,5.5,21.0,0
360,Tyler Freeman,86,0.274,0.286,0.309,0.023,8.16,4.7,12.8,0,10.3,1.0,1
361,Michael Harris II,441,0.368,0.363,0.36,-0.003,-0.78,4.8,24.3,19,4.5,31.0,0
362,Jarred Kelenic,181,0.238,0.268,0.264,-0.005,-1.71,8.8,33.7,7,18.0,14.0,0
363,Gabriel Arias,57,0.294,0.314,0.316,0.002,0.77,14.0,28.1,1,-0.6,2.0,1
364,Alejandro Kirk,541,0.347,0.364,0.367,0.003,0.95,11.6,10.7,14,8.1,28.0,13
365,Gabriel Moreno,73,0.326,0.324,0.324,-0.0,-0.01,5.5,11.0,1,5.9,2.0,0
366,Geraldo Perdomo,500,0.253,0.284,0.283,-0.001,-0.44,10.0,20.6,5,12.1,7.0,0
367,Oswald Peraza,57,0.371,0.364,0.371,0.007,1.9,10.5,15.8,1,5.4,2.0,1
368,Tucupita Marcano,177,0.249,0.226,0.228,0.002,0.87,5.6,24.9,2,11.1,2.0,0
369,Lenyn Sosa,36,0.161,0.253,0.249,-0.004,-1.4,2.8,33.3,1,5.7,2.0,1
370,Yainer Diaz,9,0.217,0.305,0.275,-0.03,-9.98,11.1,22.2,0,24.0,1.0,0
371,Luis Robert,401,0.324,0.344,0.355,0.011,3.17,4.2,19.2,12,10.0,27.0,11
372,Ha-seong Kim,582,0.313,0.323,0.326,0.003,0.84,8.8,17.2,11,16.1,18.0,11
373,Seiya Suzuki,446,0.334,0.34,0.342,0.002,0.5,9.4,24.7,14,11.2,32.0,6
374,Josh Jung,102,0.28,0.302,0.276,-0.026,-8.71,3.9,38.2,5,14.3,6.0,2
375,Kevin Smith,151,0.226,0.247,0.24,-0.007,-2.95,4.6,27.8,2,16.4,8.0,3
376,Canaan Smith-Njigba,7,0.381,0.418,0.457,0.038,9.19,14.3,0.0,0,0.7,1.0,0
377,Nelson Velazquez,206,0.291,0.307,0.31,0.003,1.09,9.2,31.6,6,12.3,16.0,7
378,Alec Burleson,53,0.245,0.322,0.335,0.013,3.99,9.4,17.0,1,4.0,4.0,0
379,Jose Barrero,174,0.183,0.178,0.187,0.009,4.98,5.2,43.7,2,17.7,2.0,0
380,Jake Meyers,160,0.258,0.261,0.252,-0.009,-3.47,4.4,33.8,1,7.2,5.0,0
381,Alan Trejo,125,0.321,0.281,0.31,0.029,10.44,4.0,24.8,4,13.6,4.0,2
382,Chas McCormick,407,0.326,0.34,0.319,-0.021,-6.21,11.3,26.0,14,12.8,26.0,2
383,Wander Franco,344,0.323,0.342,0.345,0.004,1.07,7.6,9.6,6,8.2,13.0,1
384,Julio Rodriguez,560,0.366,0.379,0.372,-0.007,-1.78,7.1,25.9,28,10.1,48.0,22
385,Ezequiel Duran,220,0.282,0.272,0.276,0.003,1.15,5.5,24.5,5,9.5,7.0,3
386,Alek Thomas,411,0.272,0.278,0.279,0.0,0.13,5.4,18.0,8,2.6,12.0,0
387,Bobby Witt Jr.,632,0.311,0.322,0.322,-0.0,-0.01,4.7,21.4,20,16.8,40.0,21
388,Ji Hwan Bae,37,0.37,0.314,0.323,0.009,3.02,5.4,16.2,0,4.4,0.0,0
389,Miguel Vargas,50,0.2,0.253,0.246,-0.007,-2.62,4.0,26.0,1,25.9,3.0,0
390,Ezequiel Tovar,35,0.261,0.316,0.305,-0.01,-3.24,5.7,25.7,1,8.5,3.0,2
391,Spencer Torkelson,404,0.272,0.309,0.316,0.008,2.5,9.2,24.5,8,15.0,22.0,8
392,Terrin Vavra,103,0.303,0.326,0.314,-0.012,-3.63,11.7,18.4,1,10.7,1.0,0
393,Steven Kwan,638,0.341,0.33,0.334,0.004,1.28,9.7,9.4,6,11.8,7.0,0
394,Jarren Duran,223,0.284,0.309,0.287,-0.022,-6.99,6.3,28.3,3,7.6,11.0,0
395,Ryan Jeffers,236,0.287,0.313,0.311,-0.002,-0.48,9.7,26.3,7,18.2,20.0,6
396,Owen Miller,472,0.287,0.306,0.307,0.001,0.23,6.8,19.7,6,10.1,12.0,7
397,Brendan Donovan,468,0.349,0.349,0.357,0.008,2.23,12.8,15.0,5,6.0,11.0,0
398,Bryson Stott,466,0.289,0.297,0.299,0.002,0.68,7.7,19.1,10,13.1,15.0,0
399,Logan O'Hoppe,16,0.307,0.294,0.271,-0.023,-7.67,12.5,18.8,0,24.6,0.0,0
400,Kerry Carpenter,113,0.342,0.296,0.288,-0.008,-2.66,5.3,28.3,6,14.5,8.0,0
401,James Outman,16,0.584,0.333,0.358,0.025,7.61,12.5,43.8,1,16.5,0.0,0
402,David Villar,181,0.344,0.301,0.305,0.004,1.36,9.9,32.0,9,17.8,9.0,4
403,Nate Eaton,122,0.313,0.318,0.306,-0.013,-3.94,8.2,24.6,1,13.6,4.0,1
404,David Hensley,34,0.44,0.363,0.388,0.025,6.92,14.7,17.6,1,-0.4,1.0,0
405,Francisco Alvarez,14,0.336,0.415,0.352,-0.064,-15.33,14.3,28.6,1,15.3,3.0,1
406,CJ Abrams,302,0.267,0.284,0.27,-0.014,-5.03,1.7,16.6,2,6.8,5.0,0
407,Riley Greene,418,0.303,0.318,0.31,-0.008,-2.58,8.6,28.7,5,2.8,24.0,0
408,Corbin Carroll,115,0.358,0.363,0.349,-0.015,-4.01,7.0,27.0,4,9.1,4.0,0
409,Gunnar Henderson,132,0.343,0.347,0.354,0.008,2.18,12.1,25.8,4,2.0,8.0,0
410,Brett Baty,42,0.26,0.297,0.313,0.017,5.58,4.8,19.0,2,10.0,2.0,0
411,Andrew Vaughn,555,0.327,0.337,0.336,-0.001,-0.32,5.6,17.3,17,7.5,33.0,13
412,Vinnie Pasquantino,298,0.365,0.368,0.38,0.011,3.07,11.7,11.4,10,12.1,20.0,0
413,Michael Massey,194,0.302,0.34,0.326,-0.014,-3.99,4.6,23.7,4,16.4,17.0,0
414,Will Brennan,45,0.385,0.349,0.318,-0.031,-8.96,4.4,8.9,1,5.4,2.0,0
415,Vaughn Grissom,156,0.345,0.322,0.337,0.016,4.86,7.1,21.8,5,9.0,8.0,4
